date,zone,VV,VH,cross_pol_ratio_db
2026-04-11,gangchempo,-13.886070735434716,-18.30320668684585,-4.417135951411135
2026-04-23,gangchempo,-15.558980279233678,-21.99673177106027,-6.437751491826591
2026-05-05,gangchempo,-14.37976926839239,-20.057059814930252,-5.677290546537861
2026-05-17,gangchempo,-17.215222232881263,-24.561557747105585,-7.346335514224322
2026-05-29,gangchempo,-15.352859481787139,-22.062064189322413,-6.7092047075352745
2026-06-10,gangchempo,-17.75218432600702,-26.61088206649007,-8.858697740483052
2026-06-22,gangchempo,-17.2811096274631,-26.385734093658233,-9.104624466195133
2026-06-29,gangchempo,-17.625207868063836,-26.19619738249095,-8.570989514427115
2026-07-11,gangchempo,-16.64920934241099,-24.85861717043902,-8.20940782802803
2026-07-23,gangchempo,-17.230591498264307,-25.177171324288988,-7.946579826024681
2026-08-04,gangchempo,-16.24570928488159,-24.528743078806016,-8.283033793924428
2026-08-16,gangchempo,-16.594206392646388,-25.2602498802558,-8.66604348760941
2026-08-28,gangchempo,-16.772248523375048,-25.25027487981806,-8.478026356443014
2025-01-10,ghenge_liru,0.17502390414362506,-6.18235930277432,-6.3573832069179455
2025-01-22,ghenge_liru,0.22819349822540083,-6.075320571825618,-6.303514070051018
2025-02-03,ghenge_liru,0.19487329896520536,-6.254598097958476,-6.449471396923681
2025-02-15,ghenge_liru,0.19434427655753614,-5.6169209247136385,-5.8112652012711745
2025-02-27,ghenge_liru,-0.16703216917236488,-6.471736665089938,-6.304704495917573
2025-03-11,ghenge_liru,-0.39320049764755804,-7.050157327782624,-6.656956830135066
2025-03-23,ghenge_liru,-0.2457420192855394,-6.426110609504222,-6.1803685902186825
2025-04-04,ghenge_liru,-0.11845985095095375,-6.792413905574074,-6.67395405462312
2025-04-16,ghenge_liru,-0.49209493829938616,-7.406282531917171,-6.914187593617784
2025-04-28,ghenge_liru,-0.35469604028527857,-6.996118584765747,-6.641422544480468
2025-05-10,ghenge_liru,-0.528707325142303,-7.779572677209973,-7.25086535206767
2025-06-03,ghenge_liru,-0.4106234676654494,-7.698067310382704,-7.287443842717255
2025-06-15,ghenge_liru,-1.6454914144564203,-11.132344187932459,-9.486852773476038
2025-06-27,ghenge_liru,-1.5128502654897884,-11.165222725143861,-9.652372459654073
2025-07-09,ghenge_liru,-1.49164353589726,-10.87053255154788,-9.37888901565062
2025-07-21,ghenge_liru,-1.2013683958107815,-10.22357268697955,-9.022204291168768
2025-08-02,ghenge_liru,-0.9892482086619753,-9.983166097584556,-8.993917888922581
2025-08-14,ghenge_liru,-1.439864921512545,-10.394868553738222,-8.955003632225678
2025-08-26,ghenge_liru,-2.0063987425319767,-11.028038807790585,-9.021640065258609
2025-09-07,ghenge_liru,-2.178630329989194,-10.530115463179312,-8.351485133190119
2025-09-19,ghenge_liru,-1.9085719220468464,-10.137786699003764,-8.229214776956917
2025-10-01,ghenge_liru,-2.0342944282206976,-10.181914842786183,-8.147620414565486
2025-10-13,ghenge_liru,-1.3162556114144435,-8.86375703214009,-7.547501420725646
2025-10-25,ghenge_liru,-0.43649664237709646,-7.4037809314325855,-6.967284289055489
2025-11-06,ghenge_liru,-0.4298798532718926,-7.053610513433993,-6.6237306601621
2025-11-18,ghenge_liru,-0.35904518719629075,-7.044006121457213,-6.684960934260922
2025-11-30,ghenge_liru,-0.005710204994219446,-6.644631477838081,-6.638921272843861
2025-12-12,ghenge_liru,0.17654071770905466,-6.27344499191775,-6.449985709626805
2025-12-24,ghenge_liru,0.251938105580662,-6.049331506258514,-6.301269611839176
2026-01-05,ghenge_liru,0.18563132554735082,-5.750228207500219,-5.935859533047569
2026-01-17,ghenge_liru,0.05763805358031368,-6.003342486294882,-6.060980539875195
2026-01-29,ghenge_liru,0.13981137716949013,-5.97529343470469,-6.11510481187418
2026-02-10,ghenge_liru,0.6583511496433575,-5.521750146035383,-6.180101295678741
2026-02-22,ghenge_liru,0.06679184524631482,-6.347556863396935,-6.41434870864325
2026-03-06,ghenge_liru,-1.0448140853786663,-8.14614824273453,-7.101334157355863
2026-03-18,ghenge_liru,-0.13904965298260522,-7.0022274128093045,-6.8631777598267
2026-03-30,ghenge_liru,-1.4729889542417394,-8.900164928134066,-7.427175973892327
2026-04-11,ghenge_liru,-0.6818197595831607,-7.959018093308819,-7.277198333725658
2026-04-23,ghenge_liru,-1.1820751243890988,-8.781397299872799,-7.5993221754836995
2026-05-05,ghenge_liru,-0.9496983942220322,-8.665513357869129,-7.715814963647096
2026-05-17,ghenge_liru,-0.8637405346628924,-8.706164030897853,-7.84242349623496
2026-05-29,ghenge_liru,-0.3628655679962969,-7.784507400672455,-7.421641832676158
2026-06-10,ghenge_liru,-2.220901164021943,-10.855066261567003,-8.634165097545061
2026-06-22,ghenge_liru,-1.1438492701259382,-9.796357683155614,-8.652508413029675
2026-06-29,ghenge_liru,-1.151167882070352,-9.959147556332093,-8.807979674261741
2026-07-11,ghenge_liru,-1.0371553274311154,-10.036102812894537,-8.998947485463422
2026-07-23,ghenge_liru,-1.6796373455782458,-9.649894249054732,-7.9702569034764865
2026-08-04,ghenge_liru,-1.345060066951202,-10.179489975039559,-8.834429908088357
2026-08-16,ghenge_liru,-1.8113952395421715,-10.940910279284504,-9.129515039742332
2026-08-28,ghenge_liru,-1.3078520619174487,-10.267907114272733,-8.960055052355283
